epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9606,1.19475,2.40942,1.57631,0.44995,0.18831,0.20617,0.1207,1.59167,3.84342,2.46527,0.000327684,0.000327684,0.000327684
2,86.0977,1.42153,1.90724,1.72828,0.20888,0.14005,0.07724,0.03002,2.49183,4.27833,3.71071,0.000647929,0.000647929,0.000647929
3,125.859,1.5548,2.16078,1.86463,0.02447,0.03562,0.00678,0.00208,3.97454,440.411,8.71355,0.000954974,0.000954974,0.000954974
4,164.839,1.52265,2.10663,1.82964,0.18722,0.24407,0.13687,0.06414,2.36278,6.65845,3.27524,0.0009406,0.0009406,0.0009406
5,204.053,1.49583,1.96163,1.79051,0.2794,0.35146,0.2473,0.11745,2.17828,4.00845,2.78313,0.0009208,0.0009208,0.0009208
6,243.639,1.43608,1.86407,1.74609,0.24128,0.38931,0.28019,0.14509,1.77714,3.40487,2.61663,0.000901,0.000901,0.000901
7,283.095,1.36754,1.73702,1.71418,0.70011,0.33788,0.38973,0.2148,1.65919,2.71165,2.30696,0.0008812,0.0008812,0.0008812
8,322.489,1.35969,1.66525,1.69141,0.51978,0.50888,0.48818,0.28357,1.57461,2.40109,2.24648,0.0008614,0.0008614,0.0008614
9,362.076,1.29609,1.55553,1.6514,0.73101,0.39359,0.49282,0.28746,1.54356,2.09206,2.16145,0.0008416,0.0008416,0.0008416
10,401.396,1.27038,1.46623,1.59523,0.57253,0.53423,0.5541,0.3292,1.5302,1.90671,2.13346,0.0008218,0.0008218,0.0008218
11,441.391,1.25226,1.46725,1.60753,0.49444,0.54589,0.50551,0.31608,1.34987,1.9852,1.96774,0.000802,0.000802,0.000802
12,480.956,1.18872,1.41641,1.54936,0.63772,0.55146,0.58864,0.36603,1.32777,1.81549,1.93077,0.0007822,0.0007822,0.0007822
13,520.518,1.19805,1.37183,1.56011,0.53278,0.55453,0.52072,0.32657,1.42712,1.8318,1.99798,0.0007624,0.0007624,0.0007624
14,559.734,1.19185,1.30153,1.54302,0.54015,0.56526,0.5358,0.33064,1.37997,1.68573,1.97903,0.0007426,0.0007426,0.0007426
15,598.948,1.15922,1.29306,1.5244,0.63726,0.48213,0.55541,0.33803,1.35921,1.94345,1.98159,0.0007228,0.0007228,0.0007228
16,637.962,1.15166,1.23491,1.52131,0.57473,0.5941,0.60459,0.38978,1.33815,1.60872,1.98144,0.000703,0.000703,0.000703
17,677.223,1.12026,1.1672,1.49368,0.71499,0.62776,0.70111,0.45805,1.23126,1.51578,1.80887,0.0006832,0.0006832,0.0006832
18,717.697,1.13428,1.1944,1.49131,0.67191,0.65012,0.67754,0.43866,1.31748,1.40236,1.87858,0.0006634,0.0006634,0.0006634
19,757.057,1.12459,1.14177,1.47259,0.76687,0.58586,0.67682,0.46781,1.17031,1.5834,1.73944,0.0006436,0.0006436,0.0006436
20,796.882,1.0915,1.13783,1.46579,0.69706,0.63197,0.70019,0.46832,1.25937,1.42093,1.83298,0.0006238,0.0006238,0.0006238
21,836.24,1.1105,1.12401,1.47089,0.64829,0.65722,0.68363,0.47488,1.20128,1.49009,1.77878,0.000604,0.000604,0.000604
22,875.789,1.05058,1.01916,1.43623,0.69023,0.6568,0.67939,0.47126,1.13594,1.52708,1.69066,0.0005842,0.0005842,0.0005842
23,915.17,1.04583,1.01948,1.42943,0.71574,0.6764,0.74867,0.51447,1.20204,1.1823,1.74404,0.0005644,0.0005644,0.0005644
24,954.446,1.03085,0.99529,1.44248,0.74429,0.69758,0.77763,0.54038,1.15303,1.21008,1.71994,0.0005446,0.0005446,0.0005446
25,993.758,1.03208,1.00446,1.40608,0.74948,0.67893,0.72751,0.50318,1.08291,1.41095,1.64054,0.0005248,0.0005248,0.0005248
26,1033.38,1.01244,0.95694,1.41404,0.70107,0.65761,0.69132,0.48785,1.06919,1.50882,1.62696,0.000505,0.000505,0.000505
27,1072.72,0.9729,0.92678,1.37849,0.73369,0.65617,0.70019,0.4976,1.14344,1.5147,1.72422,0.0004852,0.0004852,0.0004852
28,1111.79,0.98381,0.91393,1.38436,0.76431,0.66593,0.71203,0.524,1.05649,1.31257,1.62613,0.0004654,0.0004654,0.0004654
29,1151.22,0.96559,0.88516,1.36482,0.69659,0.71607,0.76943,0.54541,1.0822,1.13159,1.65608,0.0004456,0.0004456,0.0004456
30,1190.74,0.95245,0.87285,1.36126,0.78589,0.7113,0.79014,0.57146,1.07522,1.1731,1.62824,0.0004258,0.0004258,0.0004258
31,1230.03,0.95025,0.81936,1.33932,0.78303,0.69461,0.78727,0.56555,1.08701,1.07832,1.65652,0.000406,0.000406,0.000406
32,1269.31,0.9402,0.84422,1.34573,0.79636,0.71901,0.80515,0.57782,1.09474,1.09905,1.63767,0.0003862,0.0003862,0.0003862
33,1308.95,0.90726,0.80774,1.31731,0.83783,0.71125,0.8459,0.62399,1.0199,0.93062,1.58377,0.0003664,0.0003664,0.0003664
34,1351.2,0.89829,0.78913,1.31236,0.77159,0.77342,0.83931,0.6158,1.04404,0.87126,1.62517,0.0003466,0.0003466,0.0003466
35,1390.58,0.89963,0.7813,1.31426,0.7678,0.75496,0.84579,0.61085,1.02456,0.95435,1.58981,0.0003268,0.0003268,0.0003268
36,1429.96,0.89834,0.7805,1.32144,0.80174,0.73479,0.83799,0.6245,0.98848,1.05669,1.54265,0.000307,0.000307,0.000307
37,1468.93,0.88563,0.778,1.31148,0.7516,0.73156,0.81936,0.60165,1.03891,1.00155,1.598,0.0002872,0.0002872,0.0002872
38,1508.2,0.8648,0.74697,1.29478,0.76877,0.78552,0.85176,0.63386,0.98665,0.91835,1.54404,0.0002674,0.0002674,0.0002674
39,1551.34,0.84218,0.72309,1.28309,0.78193,0.73441,0.79533,0.59364,1.0146,1.16635,1.58354,0.0002476,0.0002476,0.0002476
40,1590.57,0.84227,0.70928,1.27087,0.82215,0.70739,0.82751,0.6165,0.99459,0.95426,1.53989,0.0002278,0.0002278,0.0002278
41,1631.33,0.76978,0.65227,1.28677,0.78809,0.74943,0.82278,0.60997,0.97888,1.10329,1.52166,0.000208,0.000208,0.000208
42,1670.4,0.72789,0.55025,1.26839,0.84146,0.71533,0.85236,0.6298,0.99169,0.96529,1.54255,0.0001882,0.0001882,0.0001882
43,1709.18,0.70844,0.52626,1.23668,0.83869,0.76287,0.85191,0.63453,0.99251,0.95303,1.54388,0.0001684,0.0001684,0.0001684
44,1747.97,0.67911,0.49203,1.21633,0.84282,0.75268,0.84845,0.63149,0.98649,0.92603,1.5502,0.0001486,0.0001486,0.0001486
45,1787.08,0.65865,0.47971,1.18401,0.83932,0.76098,0.8591,0.63753,0.99994,0.8957,1.56412,0.0001288,0.0001288,0.0001288
46,1826.55,0.65148,0.47461,1.18573,0.83241,0.7888,0.87019,0.65551,0.9709,0.85002,1.54809,0.000109,0.000109,0.000109
47,1868.9,0.63755,0.45063,1.16834,0.853,0.75576,0.85492,0.64452,0.96799,0.88367,1.54071,8.92e-05,8.92e-05,8.92e-05
48,1909.6,0.62355,0.43091,1.16098,0.82698,0.76752,0.86403,0.65338,0.97586,0.82142,1.54091,6.94e-05,6.94e-05,6.94e-05
49,1948.81,0.60532,0.41649,1.13985,0.84234,0.75127,0.85556,0.65163,0.96003,0.87855,1.52149,4.96e-05,4.96e-05,4.96e-05
50,1987.93,0.59145,0.40912,1.12742,0.83037,0.76118,0.86619,0.66231,0.95067,0.83955,1.52132,2.98e-05,2.98e-05,2.98e-05
